"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-01","42","50","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-02","52","60","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-03","58","64","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-04","53","60","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-05","38","47","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-06","35","42","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-07","42","49","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-08","34","38","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-09","44","51","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-10","51","58","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-11","46","52","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-12","43","47","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-13","29","39","18"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-14","18","22","13"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-15","24","30","17"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-16","34","46","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-17","14","21","7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-18","11","19","3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-19","20","29","10"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-20","26","28","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-21","17","23","10"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-22","14","20","8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-23","23","27","18"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-24","32","38","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-25","28","30","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-26","27","31","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-27","17","22","12"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-28","16","22","9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-29","26","35","17"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-30","29","36","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01-31","34","38","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-02-01","31","35","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-02-02","25","29","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-02-03","27","33","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-02-04","30","32","27"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-02-05","31","36","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-02-06","33","37","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-02-07","36","43","28"
